Formulation,F_dissolved,F_absorbed
Formulation A (fast),0.0,0.0
Formulation A (fast),0.12404117596355377,0.10253837664292165
Formulation A (fast),0.25304778062521316,0.26453964750342795
Formulation A (fast),0.37067549591146703,0.4138657569980937
Formulation A (fast),0.4741665949412664,0.5268720109695328
Formulation A (fast),0.5634515544582044,0.6013176816828869
Formulation A (fast),0.6394963292116357,0.6599444834620916
Formulation A (fast),0.757331427240378,0.7545901474867062
Formulation A (fast),0.8389498791186557,0.8215444299521755
Formulation A (fast),0.8943581761447731,0.8690344804521588
Formulation A (fast),0.95582786276923,0.9352530015718538
Formulation A (fast),0.9929295360493711,1.0
Formulation B (medium),0.0,0.0
Formulation B (medium),0.06748010197392268,0.05229907515956754
Formulation B (medium),0.15768874493408006,0.1436433502670314
Formulation B (medium),0.25196463271812675,0.25433111892666405
Formulation B (medium),0.3439738552531101,0.3629673049368243
Formulation B (medium),0.4305062065818941,0.45952194867786894
Formulation B (medium),0.5099019547535797,0.5399244496548131
Formulation B (medium),0.6449788894017938,0.6632799270548392
Formulation B (medium),0.7491912695128166,0.753549563631627
Formulation B (medium),0.8265597524308835,0.817376579392992
Formulation B (medium),0.9214468765848243,0.9072554383222613
Formulation B (medium),0.9864818217222482,1.0
Formulation C (slow),0.0,0.0
Formulation C (slow),0.027522448171475308,0.021962813647030507
Formulation C (slow),0.0787083969803455,0.06691136650821349
Formulation C (slow),0.14271163300067854,0.1347854864913653
Formulation C (slow),0.21402686273372423,0.21346049702148143
Formulation C (slow),0.28873858631392596,0.298002286539503
Formulation C (slow),0.36388713541354156,0.3780010830976593
Formulation C (slow),0.5071513710538078,0.5196461880979601
Formulation C (slow),0.6324899396670305,0.6400505445574343
Formulation C (slow),0.735276692660092,0.7399362175822853
Formulation C (slow),0.8749149063590006,0.8681027739334497
Formulation C (slow),0.9798543129108522,1.0
